ancestry,greater_sydney,sa4,prop,ancestry_reorder
Australian Peoples,0.15627624243652946,Blacktown,0.1580600899818623,Australian Peoples___Blacktown
Polynesian,0.009128921608562504,Blacktown,0.028943773113796433,Polynesian___Blacktown
British,0.28071589418676457,Blacktown,0.2266241490589593,British___Blacktown
Irish,0.04478059638777623,Blacktown,0.028702329635125905,Irish___Blacktown
Southern European,0.048393151836988696,Blacktown,0.04241749699667868,Southern European___Blacktown
Arab,0.042981884984045426,Blacktown,0.029141050102466256,Arab___Blacktown
Maritime South-East Asian,0.022069403270184612,Blacktown,0.08229100416931666,Maritime South-East Asian___Blacktown
Chinese Asian,0.09647929761325072,Blacktown,0.03820695828327798,Chinese Asian___Blacktown
Southern Asian,0.06459399225830632,Blacktown,0.1683626598826938,Southern Asian___Blacktown
Not stated,0.06321899482360004,Blacktown,0.059009375073610815,Not stated___Blacktown
Australian Peoples,0.15627624243652946,Parramatta,0.09918461291416134,Australian Peoples___Parramatta
British,0.28071589418676457,Parramatta,0.1448650239977162,British___Parramatta
Southern European,0.048393151836988696,Parramatta,0.032885346227273536,Southern European___Parramatta
Arab,0.042981884984045426,Parramatta,0.1087457847877674,Arab___Parramatta
Other North African and Middle Eastern,0.015978618613688326,Parramatta,0.032280942780166647,Other North African and Middle Eastern___Parramatta
Mainland South-East Asian,0.02732291751528656,Parramatta,0.027867236426570557,Mainland South-East Asian___Parramatta
Chinese Asian,0.09647929761325072,Parramatta,0.14302058986208005,Chinese Asian___Parramatta
Other North-East Asian,0.015592218007885144,Parramatta,0.03277606294716934,Other North-East Asian___Parramatta
Southern Asian,0.06459399225830632,Parramatta,0.15417863578782093,Southern Asian___Parramatta
Not stated,0.06321899482360004,Parramatta,0.06911386871732653,Not stated___Parramatta
