english_language_proficiency,english_language_proficiency2,greater_sydney,sa4,prop
Speaks English only,A,0.5839173929320808,Blacktown,0.5353700116005865
Speaks English only,A,0.5839173929320808,Parramatta,0.3478081483001329
Speaks other language and speaks English: Very well,B,0.1966439012983847,Blacktown,0.25740641506545203
Speaks other language and speaks English: Very well,B,0.1966439012983847,Parramatta,0.3038373016227018
Speaks other language and speaks English: Well,C,0.09614854413168838,Blacktown,0.10279179597100442
Speaks other language and speaks English: Well,C,0.09614854413168838,Parramatta,0.1605350723034515
Speaks other language and speaks English: Not well,D,0.0495160234444736,Blacktown,0.038220104935254594
Speaks other language and speaks English: Not well,D,0.0495160234444736,Parramatta,0.09295743864688617
Speaks other language and speaks English: Not at all,E,0.015468302821272166,Blacktown,0.01302857748544038
Speaks other language and speaks English: Not at all,E,0.015468302821272166,Parramatta,0.0311002970641498
