num_residents,greater_sydney,sa4,prop
One person,0.18907682614700644,Blacktown,0.13851025008049803
One person,0.18907682614700644,Parramatta,0.1729646039977846
Two persons,0.2616718291573384,Blacktown,0.2222281850381024
Two persons,0.2616718291573384,Parramatta,0.23230829263380495
Three persons,0.15364637557644226,Blacktown,0.18077170763121175
Three persons,0.15364637557644226,Parramatta,0.1720268365137707
Four persons,0.15792002470678182,Blacktown,0.2036420879396086
Four persons,0.15792002470678182,Parramatta,0.16612960072503902
Five persons,0.07032608970520268,Blacktown,0.09666022682551609
Five persons,0.07032608970520268,Parramatta,0.08018226675393988
Six persons,0.026768011819655557,Blacktown,0.04328109906622303
Six persons,0.026768011819655557,Parramatta,0.03789461759226625
Seven persons,0.00830679452641479,Blacktown,0.01486529998926693
Seven persons,0.00830679452641479,Parramatta,0.013965812396153266
Eight or more persons,0.005988381571280303,Blacktown,0.011663267861614968
Eight or more persons,0.005988381571280303,Parramatta,0.011102160012083983
Not applicable,0.12629566678987775,Blacktown,0.08837787556795822
Not applicable,0.12629566678987775,Parramatta,0.11342580937515734
