honours_year,gender,number
1975,F,21
1975,M,86
1976,F,34
1976,M,175
1977,F,43
1977,M,168
1978,F,52
1978,M,236
1979,F,76
1979,M,284
1980,F,115
1980,M,368
1981,F,103
1981,M,394
1982,F,102
1982,M,427
1983,F,82
1983,M,360
1984,F,112
1984,M,432
1985,F,139
1985,M,509
1986,F,164
1986,M,535
1987,F,158
1987,M,593
1988,F,178
1988,M,624
1989,F,215
1989,M,668
1990,F,234
1990,M,622
1991,F,214
1991,M,641
1992,F,250
1992,M,644
1993,F,261
1993,M,620
1994,F,260
1994,M,578
1995,F,210
1995,M,546
1996,F,222
1996,M,486
1997,F,244
1997,M,548
1998,F,247
1998,M,603
1999,F,267
1999,M,617
2000,F,264
2000,M,654
2001,F,329
2001,M,693
2002,F,356
2002,M,763
2003,F,457
2003,M,895
2004,F,361
2004,M,771
2005,F,347
2005,M,811
2006,F,445
2006,M,941
2007,F,308
2007,M,848
2008,F,293
2008,M,682
2009,F,339
2009,M,806
2010,F,291
2010,M,696
2011,F,278
2011,M,597
2012,F,301
2012,M,738
2013,F,362
2013,M,858
2014,F,396
2014,M,913
2015,F,383
2015,M,805
2016,F,378
2016,M,837
2017,F,463
2017,M,990
2018,F,509
2018,M,970
2019,F,821
2019,M,1348
2020,F,649
2020,M,948
